Prod_id,ds,y
2515,2012-01-01,21
2515,2012-02-01,35
2515,2012-03-01,29
2515,2012-04-01,48
2515,2012-05-01,20
2515,2012-06-01,33
2515,2012-07-01,48
2515,2012-08-01,21
2515,2012-09-01,55
2515,2012-10-01,94
2515,2012-11-01,70
2515,2012-12-01,79
2515,2013-01-01,59
2515,2013-02-01,59
2515,2013-03-01,74
2515,2013-04-01,61
2515,2013-05-01,50
2515,2013-06-01,64
2515,2013-07-01,78
2515,2013-08-01,90
2515,2013-09-01,15
2515,2013-10-01,90
2515,2013-11-01,42
2515,2013-12-01,15
2515,2014-01-01,39
2515,2014-02-01,75
2515,2014-03-01,100
2515,2014-04-01,11
2515,2014-05-01,83
2515,2014-06-01,69
2515,2014-07-01,38
2515,2014-08-01,16
2515,2014-09-01,58
2515,2014-10-01,39
2515,2014-11-01,21
2515,2014-12-01,74
2515,2015-01-01,92
2515,2015-02-01,64
2515,2015-03-01,34
2515,2015-04-01,39
2515,2015-05-01,36
2515,2015-06-01,62
2515,2015-07-01,31
2515,2015-08-01,49
2515,2015-09-01,52
2515,2015-10-01,11
2515,2015-11-01,23
2515,2015-12-01,62
2515,2016-01-01,49
2515,2016-02-01,51
2515,2016-03-01,56
2515,2016-04-01,89
2515,2016-05-01,35
2515,2016-06-01,40
2515,2016-07-01,69
2515,2016-08-01,32
2515,2016-09-01,31
2515,2016-10-01,38
2515,2016-11-01,49
2515,2016-12-01,80
2515,2017-01-01,30
2515,2017-02-01,66
2515,2017-03-01,36
2515,2017-04-01,48
2515,2017-05-01,91
2515,2017-06-01,26
2515,2017-07-01,99
2515,2017-08-01,63
2515,2017-09-01,70
2515,2017-10-01,84
2515,2017-11-01,87
2515,2017-12-01,23
2515,2018-01-01,61
2515,2018-02-01,94
2515,2018-03-01,20
2515,2018-04-01,42
2515,2018-05-01,17
2515,2018-06-01,99
2515,2018-07-01,99
2515,2018-08-01,43
2515,2018-09-01,48
2515,2018-10-01,50
2515,2018-11-01,44
2515,2018-12-01,26
2515,2019-01-01,20
2515,2019-02-01,86
2515,2019-03-01,63
2515,2019-04-01,67
2515,2019-05-01,73
2515,2019-06-01,72
2515,2019-07-01,18
2515,2019-08-01,71
2515,2019-09-01,43
2515,2019-10-01,80
2515,2019-11-01,55
2515,2019-12-01,25
2516,2012-01-01,45
2516,2012-02-01,38
2516,2012-03-01,60
2516,2012-04-01,81
2516,2012-05-01,64
2516,2012-06-01,70
2516,2012-07-01,85
2516,2012-08-01,32
2516,2012-09-01,91
2516,2012-10-01,45
2516,2012-11-01,17
2516,2012-12-01,40
2516,2013-01-01,91
2516,2013-02-01,55
2516,2013-03-01,63
2516,2013-04-01,51
2516,2013-05-01,100
2516,2013-06-01,55
2516,2013-07-01,81
2516,2013-08-01,91
2516,2013-09-01,10
2516,2013-10-01,14
2516,2013-11-01,55
2516,2013-12-01,95
2516,2014-01-01,35
2516,2014-02-01,72
2516,2014-03-01,51
2516,2014-04-01,70
2516,2014-05-01,77
2516,2014-06-01,47
2516,2014-07-01,77
2516,2014-08-01,61
2516,2014-09-01,44
2516,2014-10-01,92
2516,2014-11-01,72
2516,2014-12-01,36
2516,2015-01-01,94
2516,2015-02-01,41
2516,2015-03-01,33
2516,2015-04-01,79
2516,2015-05-01,36
2516,2015-06-01,97
2516,2015-07-01,99
2516,2015-08-01,54
2516,2015-09-01,67
2516,2015-10-01,84
2516,2015-11-01,92
2516,2015-12-01,72
2516,2016-01-01,11
2516,2016-02-01,99
2516,2016-03-01,16
2516,2016-04-01,81
2516,2016-05-01,22
2516,2016-06-01,86
2516,2016-07-01,74
2516,2016-08-01,42
2516,2016-09-01,33
2516,2016-10-01,71
2516,2016-11-01,37
2516,2016-12-01,92
2516,2017-01-01,95
2516,2017-02-01,62
2516,2017-03-01,25
2516,2017-04-01,64
2516,2017-05-01,35
2516,2017-06-01,46
2516,2017-07-01,36
2516,2017-08-01,75
2516,2017-09-01,13
2516,2017-10-01,90
2516,2017-11-01,38
2516,2017-12-01,70
2516,2018-01-01,82
2516,2018-02-01,70
2516,2018-03-01,88
2516,2018-04-01,36
2516,2018-05-01,64
2516,2018-06-01,13
2516,2018-07-01,56
2516,2018-08-01,66
2516,2018-09-01,44
2516,2018-10-01,21
2516,2018-11-01,64
2516,2018-12-01,55
2516,2019-01-01,64
2516,2019-02-01,80
2516,2019-03-01,60
2516,2019-04-01,51
2516,2019-05-01,19
2516,2019-06-01,17
2516,2019-07-01,27
2516,2019-08-01,65
2516,2019-09-01,28
2516,2019-10-01,13
2516,2019-11-01,21
2516,2019-12-01,78
2517,2012-01-01,17
2517,2012-02-01,93
2517,2012-03-01,44
2517,2012-04-01,99
2517,2012-05-01,56
2517,2012-06-01,16
2517,2012-07-01,92
2517,2012-08-01,91
2517,2012-09-01,80
2517,2012-10-01,18
2517,2012-11-01,63
2517,2012-12-01,79
2517,2013-01-01,40
2517,2013-02-01,12
2517,2013-03-01,74
2517,2013-04-01,67
2517,2013-05-01,20
2517,2013-06-01,14
2517,2013-07-01,55
2517,2013-08-01,64
2517,2013-09-01,97
2517,2013-10-01,11
2517,2013-11-01,62
2517,2013-12-01,74
2517,2014-01-01,38
2517,2014-02-01,43
2517,2014-03-01,29
2517,2014-04-01,27
2517,2014-05-01,83
2517,2014-06-01,88
2517,2014-07-01,99
2517,2014-08-01,46
2517,2014-09-01,79
2517,2014-10-01,76
2517,2014-11-01,96
2517,2014-12-01,74
2517,2015-01-01,93
2517,2015-02-01,44
2517,2015-03-01,79
2517,2015-04-01,98
2517,2015-05-01,18
2517,2015-06-01,60
2517,2015-07-01,70
2517,2015-08-01,80
2517,2015-09-01,12
2517,2015-10-01,50
2517,2015-11-01,25
2517,2015-12-01,76
2517,2016-01-01,86
2517,2016-02-01,23
2517,2016-03-01,97
2517,2016-04-01,86
2517,2016-05-01,15
2517,2016-06-01,91
2517,2016-07-01,99
2517,2016-08-01,48
2517,2016-09-01,19
2517,2016-10-01,39
2517,2016-11-01,32
2517,2016-12-01,93
2517,2017-01-01,21
2517,2017-02-01,71
2517,2017-03-01,100
2517,2017-04-01,67
2517,2017-05-01,42
2517,2017-06-01,13
2517,2017-07-01,20
2517,2017-08-01,96
2517,2017-09-01,58
2517,2017-10-01,18
2517,2017-11-01,80
2517,2017-12-01,28
2517,2018-01-01,72
2517,2018-02-01,60
2517,2018-03-01,14
2517,2018-04-01,52
2517,2018-05-01,63
2517,2018-06-01,24
2517,2018-07-01,19
2517,2018-08-01,17
2517,2018-09-01,18
2517,2018-10-01,82
2517,2018-11-01,87
2517,2018-12-01,84
2517,2019-01-01,83
2517,2019-02-01,23
2517,2019-03-01,70
2517,2019-04-01,48
2517,2019-05-01,47
2517,2019-06-01,37
2517,2019-07-01,89
2517,2019-08-01,60
2517,2019-09-01,13
2517,2019-10-01,33
2517,2019-11-01,28
2517,2019-12-01,53
2518,2012-01-01,71
2518,2012-02-01,54
2518,2012-03-01,71
2518,2012-04-01,13
2518,2012-05-01,26
2518,2012-06-01,43
2518,2012-07-01,70
2518,2012-08-01,85
2518,2012-09-01,77
2518,2012-10-01,52
2518,2012-11-01,96
2518,2012-12-01,22
2518,2013-01-01,90
2518,2013-02-01,16
2518,2013-03-01,82
2518,2013-04-01,88
2518,2013-05-01,51
2518,2013-06-01,94
2518,2013-07-01,68
2518,2013-08-01,48
2518,2013-09-01,44
2518,2013-10-01,85
2518,2013-11-01,43
2518,2013-12-01,100
2518,2014-01-01,71
2518,2014-02-01,22
2518,2014-03-01,94
2518,2014-04-01,54
2518,2014-05-01,39
2518,2014-06-01,24
2518,2014-07-01,88
2518,2014-08-01,22
2518,2014-09-01,27
2518,2014-10-01,51
2518,2014-11-01,10
2518,2014-12-01,67
2518,2015-01-01,58
2518,2015-02-01,76
2518,2015-03-01,81
2518,2015-04-01,31
2518,2015-05-01,90
2518,2015-06-01,62
2518,2015-07-01,23
2518,2015-08-01,42
2518,2015-09-01,21
2518,2015-10-01,76
2518,2015-11-01,39
2518,2015-12-01,95
2518,2016-01-01,12
2518,2016-02-01,17
2518,2016-03-01,93
2518,2016-04-01,57
2518,2016-05-01,10
2518,2016-06-01,62
2518,2016-07-01,85
2518,2016-08-01,70
2518,2016-09-01,17
2518,2016-10-01,52
2518,2016-11-01,36
2518,2016-12-01,40
2518,2017-01-01,40
2518,2017-02-01,80
2518,2017-03-01,35
2518,2017-04-01,56
2518,2017-05-01,70
2518,2017-06-01,80
2518,2017-07-01,75
2518,2017-08-01,52
2518,2017-09-01,74
2518,2017-10-01,18
2518,2017-11-01,80
2518,2017-12-01,12
2518,2018-01-01,55
2518,2018-02-01,60
2518,2018-03-01,75
2518,2018-04-01,89
2518,2018-05-01,41
2518,2018-06-01,10
2518,2018-07-01,49
2518,2018-08-01,48
2518,2018-09-01,48
2518,2018-10-01,10
2518,2018-11-01,61
2518,2018-12-01,45
2518,2019-01-01,21
2518,2019-02-01,89
2518,2019-03-01,100
2518,2019-04-01,84
2518,2019-05-01,90
2518,2019-06-01,91
2518,2019-07-01,28
2518,2019-08-01,46
2518,2019-09-01,54
2518,2019-10-01,47
2518,2019-11-01,50
2518,2019-12-01,28
2519,2012-01-01,19
2519,2012-02-01,47
2519,2012-03-01,12
2519,2012-04-01,22
2519,2012-05-01,67
2519,2012-06-01,76
2519,2012-07-01,27
2519,2012-08-01,59
2519,2012-09-01,49
2519,2012-10-01,27
2519,2012-11-01,55
2519,2012-12-01,67
2519,2013-01-01,47
2519,2013-02-01,38
2519,2013-03-01,63
2519,2013-04-01,90
2519,2013-05-01,59
2519,2013-06-01,77
2519,2013-07-01,43
2519,2013-08-01,44
2519,2013-09-01,70
2519,2013-10-01,92
2519,2013-11-01,64
2519,2013-12-01,14
2519,2014-01-01,42
2519,2014-02-01,61
2519,2014-03-01,24
2519,2014-04-01,75
2519,2014-05-01,93
