Prod_id,ds
11588,2020-01-01
11588,2020-02-01
11588,2020-03-01
11588,2020-04-01
11588,2020-05-01
11588,2020-06-01
11588,2020-07-01
11588,2020-08-01
11588,2020-09-01
11588,2020-10-01
11588,2020-11-01
11588,2020-12-01
11588,2021-01-01
11588,2021-02-01
11588,2021-03-01
11588,2021-04-01
11588,2021-05-01
11588,2021-06-01
11588,2021-07-01
11588,2021-08-01
11588,2021-09-01
11588,2021-10-01
11588,2021-11-01
11588,2021-12-01
11588,2022-01-01
11588,2022-02-01
11588,2022-03-01
11588,2022-04-01
11588,2022-05-01
11588,2022-06-01
11588,2022-07-01
11588,2022-08-01
11588,2022-09-01
11588,2022-10-01
11588,2022-11-01
11588,2022-12-01
11589,2020-01-01
11589,2020-02-01
11589,2020-03-01
11589,2020-04-01
11589,2020-05-01
11589,2020-06-01
11589,2020-07-01
11589,2020-08-01
11589,2020-09-01
11589,2020-10-01
11589,2020-11-01
11589,2020-12-01
11589,2021-01-01
11589,2021-02-01
11589,2021-03-01
11589,2021-04-01
11589,2021-05-01
11589,2021-06-01
11589,2021-07-01
11589,2021-08-01
11589,2021-09-01
11589,2021-10-01
11589,2021-11-01
11589,2021-12-01
11589,2022-01-01
11589,2022-02-01
11589,2022-03-01
11589,2022-04-01
11589,2022-05-01
11589,2022-06-01
11589,2022-07-01
11589,2022-08-01
11589,2022-09-01
11589,2022-10-01
11589,2022-11-01
11589,2022-12-01
11590,2020-01-01
11590,2020-02-01
11590,2020-03-01
11590,2020-04-01
11590,2020-05-01
11590,2020-06-01
11590,2020-07-01
11590,2020-08-01
11590,2020-09-01
11590,2020-10-01
11590,2020-11-01
11590,2020-12-01
11590,2021-01-01
11590,2021-02-01
11590,2021-03-01
11590,2021-04-01
11590,2021-05-01
11590,2021-06-01
11590,2021-07-01
11590,2021-08-01
11590,2021-09-01
11590,2021-10-01
11590,2021-11-01
11590,2021-12-01
11590,2022-01-01
11590,2022-02-01
11590,2022-03-01
11590,2022-04-01
11590,2022-05-01
11590,2022-06-01
11590,2022-07-01
11590,2022-08-01
11590,2022-09-01
11590,2022-10-01
11590,2022-11-01
11590,2022-12-01
11591,2020-01-01
11591,2020-02-01
11591,2020-03-01
11591,2020-04-01
11591,2020-05-01
11591,2020-06-01
11591,2020-07-01
11591,2020-08-01
11591,2020-09-01
11591,2020-10-01
11591,2020-11-01
11591,2020-12-01
11591,2021-01-01
11591,2021-02-01
11591,2021-03-01
11591,2021-04-01
11591,2021-05-01
11591,2021-06-01
11591,2021-07-01
11591,2021-08-01
11591,2021-09-01
11591,2021-10-01
11591,2021-11-01
11591,2021-12-01
11591,2022-01-01
11591,2022-02-01
11591,2022-03-01
11591,2022-04-01
11591,2022-05-01
11591,2022-06-01
11591,2022-07-01
11591,2022-08-01
11591,2022-09-01
11591,2022-10-01
11591,2022-11-01
11591,2022-12-01
11592,2020-01-01
11592,2020-02-01
11592,2020-03-01
11592,2020-04-01
11592,2020-05-01
11592,2020-06-01
11592,2020-07-01
11592,2020-08-01
11592,2020-09-01
11592,2020-10-01
11592,2020-11-01
11592,2020-12-01
11592,2021-01-01
11592,2021-02-01
11592,2021-03-01
11592,2021-04-01
11592,2021-05-01
11592,2021-06-01
11592,2021-07-01
11592,2021-08-01
11592,2021-09-01
11592,2021-10-01
11592,2021-11-01
11592,2021-12-01
11592,2022-01-01
11592,2022-02-01
11592,2022-03-01
11592,2022-04-01
11592,2022-05-01
11592,2022-06-01
11592,2022-07-01
11592,2022-08-01
11592,2022-09-01
11592,2022-10-01
11592,2022-11-01
11592,2022-12-01
11593,2020-01-01
11593,2020-02-01
11593,2020-03-01
11593,2020-04-01
11593,2020-05-01
11593,2020-06-01
11593,2020-07-01
11593,2020-08-01
11593,2020-09-01
11593,2020-10-01
11593,2020-11-01
11593,2020-12-01
11593,2021-01-01
11593,2021-02-01
11593,2021-03-01
11593,2021-04-01
11593,2021-05-01
11593,2021-06-01
11593,2021-07-01
11593,2021-08-01
11593,2021-09-01
11593,2021-10-01
11593,2021-11-01
11593,2021-12-01
11593,2022-01-01
11593,2022-02-01
11593,2022-03-01
11593,2022-04-01
11593,2022-05-01
11593,2022-06-01
11593,2022-07-01
11593,2022-08-01
11593,2022-09-01
11593,2022-10-01
11593,2022-11-01
11593,2022-12-01
11594,2020-01-01
11594,2020-02-01
11594,2020-03-01
11594,2020-04-01
11594,2020-05-01
11594,2020-06-01
11594,2020-07-01
11594,2020-08-01
11594,2020-09-01
11594,2020-10-01
11594,2020-11-01
11594,2020-12-01
11594,2021-01-01
11594,2021-02-01
11594,2021-03-01
11594,2021-04-01
11594,2021-05-01
11594,2021-06-01
11594,2021-07-01
11594,2021-08-01
11594,2021-09-01
11594,2021-10-01
11594,2021-11-01
11594,2021-12-01
11594,2022-01-01
11594,2022-02-01
11594,2022-03-01
11594,2022-04-01
11594,2022-05-01
11594,2022-06-01
11594,2022-07-01
11594,2022-08-01
11594,2022-09-01
11594,2022-10-01
11594,2022-11-01
11594,2022-12-01
11595,2020-01-01
11595,2020-02-01
11595,2020-03-01
11595,2020-04-01
11595,2020-05-01
11595,2020-06-01
11595,2020-07-01
11595,2020-08-01
11595,2020-09-01
11595,2020-10-01
11595,2020-11-01
11595,2020-12-01
11595,2021-01-01
11595,2021-02-01
11595,2021-03-01
11595,2021-04-01
11595,2021-05-01
11595,2021-06-01
11595,2021-07-01
11595,2021-08-01
11595,2021-09-01
11595,2021-10-01
11595,2021-11-01
11595,2021-12-01
11595,2022-01-01
11595,2022-02-01
