Prod_id,ds,y
11588,2012-01-01,52
11588,2012-02-01,94
11588,2012-03-01,79
11588,2012-04-01,48
11588,2012-05-01,37
11588,2012-06-01,86
11588,2012-07-01,95
11588,2012-08-01,69
11588,2012-09-01,88
11588,2012-10-01,32
11588,2012-11-01,67
11588,2012-12-01,19
11588,2013-01-01,96
11588,2013-02-01,75
11588,2013-03-01,27
11588,2013-04-01,40
11588,2013-05-01,82
11588,2013-06-01,36
11588,2013-07-01,96
11588,2013-08-01,14
11588,2013-09-01,13
11588,2013-10-01,35
11588,2013-11-01,53
11588,2013-12-01,28
11588,2014-01-01,36
11588,2014-02-01,49
11588,2014-03-01,92
11588,2014-04-01,44
11588,2014-05-01,99
11588,2014-06-01,72
11588,2014-07-01,28
11588,2014-08-01,47
11588,2014-09-01,15
11588,2014-10-01,95
11588,2014-11-01,31
11588,2014-12-01,69
11588,2015-01-01,55
11588,2015-02-01,34
11588,2015-03-01,77
11588,2015-04-01,31
11588,2015-05-01,67
11588,2015-06-01,97
11588,2015-07-01,66
11588,2015-08-01,10
11588,2015-09-01,92
11588,2015-10-01,93
11588,2015-11-01,98
11588,2015-12-01,90
11588,2016-01-01,10
11588,2016-02-01,89
11588,2016-03-01,57
11588,2016-04-01,57
11588,2016-05-01,27
11588,2016-06-01,53
11588,2016-07-01,36
11588,2016-08-01,59
11588,2016-09-01,59
11588,2016-10-01,60
11588,2016-11-01,38
11588,2016-12-01,95
11588,2017-01-01,95
11588,2017-02-01,81
11588,2017-03-01,76
11588,2017-04-01,25
11588,2017-05-01,80
11588,2017-06-01,44
11588,2017-07-01,76
11588,2017-08-01,59
11588,2017-09-01,52
11588,2017-10-01,54
11588,2017-11-01,28
11588,2017-12-01,31
11588,2018-01-01,35
11588,2018-02-01,75
11588,2018-03-01,18
11588,2018-04-01,24
11588,2018-05-01,67
11588,2018-06-01,23
11588,2018-07-01,11
11588,2018-08-01,34
11588,2018-09-01,99
11588,2018-10-01,43
11588,2018-11-01,31
11588,2018-12-01,29
11588,2019-01-01,71
11588,2019-02-01,61
11588,2019-03-01,58
11588,2019-04-01,38
11588,2019-05-01,40
11588,2019-06-01,100
11588,2019-07-01,15
11588,2019-08-01,11
11588,2019-09-01,42
11588,2019-10-01,80
11588,2019-11-01,75
11588,2019-12-01,38
11589,2012-01-01,54
11589,2012-02-01,70
11589,2012-03-01,84
11589,2012-04-01,20
11589,2012-05-01,93
11589,2012-06-01,77
11589,2012-07-01,84
11589,2012-08-01,77
11589,2012-09-01,90
11589,2012-10-01,19
11589,2012-11-01,69
11589,2012-12-01,26
11589,2013-01-01,32
11589,2013-02-01,20
11589,2013-03-01,19
11589,2013-04-01,71
11589,2013-05-01,100
11589,2013-06-01,73
11589,2013-07-01,42
11589,2013-08-01,10
11589,2013-09-01,50
11589,2013-10-01,99
11589,2013-11-01,47
11589,2013-12-01,11
11589,2014-01-01,24
11589,2014-02-01,51
11589,2014-03-01,97
11589,2014-04-01,78
11589,2014-05-01,25
11589,2014-06-01,14
11589,2014-07-01,14
11589,2014-08-01,13
11589,2014-09-01,50
11589,2014-10-01,56
11589,2014-11-01,79
11589,2014-12-01,54
11589,2015-01-01,70
11589,2015-02-01,25
11589,2015-03-01,98
11589,2015-04-01,58
11589,2015-05-01,61
11589,2015-06-01,45
11589,2015-07-01,47
11589,2015-08-01,44
11589,2015-09-01,72
11589,2015-10-01,100
11589,2015-11-01,22
11589,2015-12-01,37
11589,2016-01-01,97
11589,2016-02-01,58
11589,2016-03-01,80
11589,2016-04-01,44
11589,2016-05-01,47
11589,2016-06-01,19
11589,2016-07-01,63
11589,2016-08-01,100
11589,2016-09-01,52
11589,2016-10-01,19
11589,2016-11-01,81
11589,2016-12-01,74
11589,2017-01-01,97
11589,2017-02-01,41
11589,2017-03-01,63
11589,2017-04-01,43
11589,2017-05-01,32
11589,2017-06-01,89
11589,2017-07-01,11
11589,2017-08-01,63
11589,2017-09-01,86
11589,2017-10-01,96
11589,2017-11-01,56
11589,2017-12-01,29
11589,2018-01-01,30
11589,2018-02-01,100
11589,2018-03-01,49
11589,2018-04-01,99
11589,2018-05-01,42
11589,2018-06-01,10
11589,2018-07-01,18
11589,2018-08-01,72
11589,2018-09-01,23
11589,2018-10-01,25
11589,2018-11-01,21
11589,2018-12-01,84
11589,2019-01-01,94
11589,2019-02-01,84
11589,2019-03-01,37
11589,2019-04-01,31
11589,2019-05-01,97
11589,2019-06-01,65
11589,2019-07-01,16
11589,2019-08-01,29
11589,2019-09-01,82
11589,2019-10-01,62
11589,2019-11-01,44
11589,2019-12-01,83
11590,2012-01-01,22
11590,2012-02-01,55
11590,2012-03-01,28
11590,2012-04-01,37
11590,2012-05-01,52
11590,2012-06-01,93
11590,2012-07-01,44
11590,2012-08-01,59
11590,2012-09-01,77
11590,2012-10-01,26
11590,2012-11-01,18
11590,2012-12-01,65
11590,2013-01-01,25
11590,2013-02-01,56
11590,2013-03-01,74
11590,2013-04-01,35
11590,2013-05-01,21
11590,2013-06-01,58
11590,2013-07-01,26
11590,2013-08-01,99
11590,2013-09-01,57
11590,2013-10-01,79
11590,2013-11-01,67
11590,2013-12-01,54
11590,2014-01-01,70
11590,2014-02-01,21
11590,2014-03-01,21
11590,2014-04-01,15
11590,2014-05-01,69
11590,2014-06-01,52
11590,2014-07-01,88
11590,2014-08-01,54
11590,2014-09-01,64
11590,2014-10-01,55
11590,2014-11-01,40
11590,2014-12-01,83
11590,2015-01-01,25
11590,2015-02-01,96
11590,2015-03-01,96
11590,2015-04-01,82
11590,2015-05-01,13
11590,2015-06-01,39
11590,2015-07-01,77
11590,2015-08-01,68
11590,2015-09-01,74
11590,2015-10-01,46
11590,2015-11-01,78
11590,2015-12-01,45
11590,2016-01-01,61
11590,2016-02-01,68
11590,2016-03-01,30
11590,2016-04-01,15
11590,2016-05-01,57
11590,2016-06-01,38
11590,2016-07-01,30
11590,2016-08-01,60
11590,2016-09-01,98
11590,2016-10-01,72
11590,2016-11-01,81
11590,2016-12-01,65
11590,2017-01-01,81
11590,2017-02-01,91
11590,2017-03-01,95
11590,2017-04-01,56
11590,2017-05-01,38
11590,2017-06-01,100
11590,2017-07-01,77
11590,2017-08-01,24
11590,2017-09-01,30
11590,2017-10-01,97
11590,2017-11-01,44
11590,2017-12-01,33
11590,2018-01-01,87
11590,2018-02-01,74
11590,2018-03-01,69
11590,2018-04-01,16
11590,2018-05-01,15
11590,2018-06-01,44
11590,2018-07-01,52
11590,2018-08-01,30
11590,2018-09-01,60
11590,2018-10-01,54
11590,2018-11-01,16
11590,2018-12-01,52
11590,2019-01-01,84
11590,2019-02-01,35
11590,2019-03-01,79
11590,2019-04-01,33
11590,2019-05-01,72
11590,2019-06-01,18
11590,2019-07-01,55
11590,2019-08-01,19
11590,2019-09-01,61
11590,2019-10-01,95
11590,2019-11-01,19
11590,2019-12-01,48
11591,2012-01-01,37
11591,2012-02-01,96
11591,2012-03-01,94
11591,2012-04-01,27
11591,2012-05-01,49
11591,2012-06-01,97
11591,2012-07-01,20
11591,2012-08-01,94
11591,2012-09-01,31
11591,2012-10-01,21
11591,2012-11-01,28
11591,2012-12-01,53
11591,2013-01-01,32
11591,2013-02-01,44
11591,2013-03-01,81
11591,2013-04-01,46
11591,2013-05-01,30
11591,2013-06-01,49
11591,2013-07-01,70
11591,2013-08-01,86
11591,2013-09-01,52
11591,2013-10-01,46
11591,2013-11-01,13
11591,2013-12-01,74
11591,2014-01-01,42
11591,2014-02-01,35
11591,2014-03-01,54
11591,2014-04-01,75
11591,2014-05-01,22
11591,2014-06-01,12
11591,2014-07-01,25
11591,2014-08-01,56
11591,2014-09-01,60
11591,2014-10-01,99
11591,2014-11-01,33
11591,2014-12-01,23
11591,2015-01-01,19
11591,2015-02-01,94
11591,2015-03-01,38
11591,2015-04-01,100
11591,2015-05-01,98
11591,2015-06-01,15
11591,2015-07-01,62
11591,2015-08-01,71
11591,2015-09-01,78
11591,2015-10-01,69
11591,2015-11-01,74
11591,2015-12-01,63
11591,2016-01-01,20
11591,2016-02-01,55
11591,2016-03-01,88
11591,2016-04-01,98
11591,2016-05-01,88
11591,2016-06-01,32
11591,2016-07-01,85
11591,2016-08-01,99
11591,2016-09-01,14
11591,2016-10-01,12
11591,2016-11-01,95
11591,2016-12-01,26
11591,2017-01-01,32
11591,2017-02-01,67
11591,2017-03-01,66
11591,2017-04-01,21
11591,2017-05-01,50
11591,2017-06-01,88
11591,2017-07-01,77
11591,2017-08-01,72
11591,2017-09-01,46
11591,2017-10-01,52
11591,2017-11-01,100
11591,2017-12-01,69
11591,2018-01-01,49
11591,2018-02-01,41
11591,2018-03-01,55
11591,2018-04-01,64
11591,2018-05-01,83
11591,2018-06-01,75
11591,2018-07-01,55
11591,2018-08-01,25
11591,2018-09-01,20
11591,2018-10-01,99
11591,2018-11-01,99
11591,2018-12-01,72
11591,2019-01-01,27
11591,2019-02-01,100
11591,2019-03-01,98
11591,2019-04-01,23
11591,2019-05-01,53
11591,2019-06-01,55
11591,2019-07-01,78
11591,2019-08-01,81
11591,2019-09-01,97
11591,2019-10-01,74
11591,2019-11-01,93
11591,2019-12-01,75
11592,2012-01-01,92
11592,2012-02-01,41
11592,2012-03-01,22
11592,2012-04-01,75
11592,2012-05-01,98
11592,2012-06-01,13
11592,2012-07-01,87
11592,2012-08-01,78
11592,2012-09-01,22
11592,2012-10-01,96
11592,2012-11-01,68
11592,2012-12-01,72
11592,2013-01-01,54
11592,2013-02-01,45
11592,2013-03-01,70
11592,2013-04-01,26
11592,2013-05-01,75
11592,2013-06-01,97
11592,2013-07-01,27
11592,2013-08-01,69
11592,2013-09-01,26
11592,2013-10-01,49
11592,2013-11-01,70
11592,2013-12-01,93
11592,2014-01-01,15
11592,2014-02-01,83
11592,2014-03-01,59
11592,2014-04-01,40
11592,2014-05-01,86
11592,2014-06-01,56
11592,2014-07-01,59
11592,2014-08-01,79
11592,2014-09-01,60
11592,2014-10-01,98
11592,2014-11-01,54
11592,2014-12-01,50
11592,2015-01-01,38
11592,2015-02-01,12
11592,2015-03-01,40
11592,2015-04-01,58
11592,2015-05-01,24
11592,2015-06-01,39
11592,2015-07-01,62
11592,2015-08-01,82
11592,2015-09-01,48
11592,2015-10-01,17
11592,2015-11-01,29
11592,2015-12-01,78
11592,2016-01-01,15
11592,2016-02-01,24
11592,2016-03-01,16
11592,2016-04-01,70
11592,2016-05-01,74
11592,2016-06-01,57
11592,2016-07-01,46
11592,2016-08-01,96
11592,2016-09-01,44
11592,2016-10-01,72
11592,2016-11-01,78
11592,2016-12-01,50
11592,2017-01-01,15
11592,2017-02-01,55
11592,2017-03-01,96
11592,2017-04-01,34
11592,2017-05-01,19
11592,2017-06-01,91
