Prod_id,ds
0,2020-01-01
0,2020-02-01
0,2020-03-01
0,2020-04-01
0,2020-05-01
0,2020-06-01
0,2020-07-01
0,2020-08-01
0,2020-09-01
0,2020-10-01
0,2020-11-01
0,2020-12-01
0,2021-01-01
0,2021-02-01
0,2021-03-01
0,2021-04-01
0,2021-05-01
0,2021-06-01
0,2021-07-01
0,2021-08-01
0,2021-09-01
0,2021-10-01
0,2021-11-01
0,2021-12-01
0,2022-01-01
0,2022-02-01
0,2022-03-01
0,2022-04-01
0,2022-05-01
0,2022-06-01
0,2022-07-01
0,2022-08-01
0,2022-09-01
0,2022-10-01
0,2022-11-01
0,2022-12-01
1,2020-01-01
1,2020-02-01
1,2020-03-01
1,2020-04-01
1,2020-05-01
1,2020-06-01
1,2020-07-01
1,2020-08-01
1,2020-09-01
1,2020-10-01
1,2020-11-01
1,2020-12-01
1,2021-01-01
1,2021-02-01
1,2021-03-01
1,2021-04-01
1,2021-05-01
1,2021-06-01
1,2021-07-01
1,2021-08-01
1,2021-09-01
1,2021-10-01
1,2021-11-01
1,2021-12-01
1,2022-01-01
1,2022-02-01
1,2022-03-01
1,2022-04-01
1,2022-05-01
1,2022-06-01
1,2022-07-01
1,2022-08-01
1,2022-09-01
1,2022-10-01
1,2022-11-01
1,2022-12-01
2,2020-01-01
2,2020-02-01
2,2020-03-01
2,2020-04-01
2,2020-05-01
2,2020-06-01
2,2020-07-01
2,2020-08-01
2,2020-09-01
2,2020-10-01
2,2020-11-01
2,2020-12-01
2,2021-01-01
2,2021-02-01
2,2021-03-01
2,2021-04-01
2,2021-05-01
2,2021-06-01
2,2021-07-01
2,2021-08-01
2,2021-09-01
2,2021-10-01
2,2021-11-01
2,2021-12-01
2,2022-01-01
2,2022-02-01
2,2022-03-01
2,2022-04-01
2,2022-05-01
2,2022-06-01
2,2022-07-01
2,2022-08-01
2,2022-09-01
2,2022-10-01
2,2022-11-01
2,2022-12-01
3,2020-01-01
3,2020-02-01
3,2020-03-01
3,2020-04-01
3,2020-05-01
3,2020-06-01
3,2020-07-01
3,2020-08-01
3,2020-09-01
3,2020-10-01
3,2020-11-01
3,2020-12-01
3,2021-01-01
3,2021-02-01
3,2021-03-01
3,2021-04-01
3,2021-05-01
3,2021-06-01
3,2021-07-01
3,2021-08-01
3,2021-09-01
3,2021-10-01
3,2021-11-01
3,2021-12-01
3,2022-01-01
3,2022-02-01
3,2022-03-01
3,2022-04-01
3,2022-05-01
3,2022-06-01
3,2022-07-01
3,2022-08-01
3,2022-09-01
3,2022-10-01
3,2022-11-01
3,2022-12-01
4,2020-01-01
4,2020-02-01
4,2020-03-01
4,2020-04-01
4,2020-05-01
4,2020-06-01
4,2020-07-01
4,2020-08-01
4,2020-09-01
4,2020-10-01
4,2020-11-01
4,2020-12-01
4,2021-01-01
4,2021-02-01
4,2021-03-01
4,2021-04-01
4,2021-05-01
4,2021-06-01
4,2021-07-01
4,2021-08-01
4,2021-09-01
4,2021-10-01
4,2021-11-01
4,2021-12-01
4,2022-01-01
4,2022-02-01
4,2022-03-01
4,2022-04-01
4,2022-05-01
4,2022-06-01
4,2022-07-01
4,2022-08-01
4,2022-09-01
4,2022-10-01
4,2022-11-01
4,2022-12-01
5,2020-01-01
5,2020-02-01
5,2020-03-01
5,2020-04-01
5,2020-05-01
5,2020-06-01
5,2020-07-01
5,2020-08-01
5,2020-09-01
5,2020-10-01
5,2020-11-01
5,2020-12-01
5,2021-01-01
5,2021-02-01
5,2021-03-01
5,2021-04-01
5,2021-05-01
5,2021-06-01
5,2021-07-01
5,2021-08-01
5,2021-09-01
5,2021-10-01
5,2021-11-01
5,2021-12-01
5,2022-01-01
5,2022-02-01
5,2022-03-01
5,2022-04-01
5,2022-05-01
5,2022-06-01
5,2022-07-01
5,2022-08-01
5,2022-09-01
5,2022-10-01
5,2022-11-01
5,2022-12-01
6,2020-01-01
6,2020-02-01
6,2020-03-01
6,2020-04-01
6,2020-05-01
6,2020-06-01
6,2020-07-01
6,2020-08-01
6,2020-09-01
6,2020-10-01
6,2020-11-01
6,2020-12-01
6,2021-01-01
6,2021-02-01
6,2021-03-01
6,2021-04-01
