Prod_id,ds,y
0,2020-01-01,19
0,2020-02-01,13
0,2020-03-01,38
0,2020-04-01,35
0,2020-05-01,13
0,2020-06-01,53
0,2020-07-01,35
0,2020-08-01,97
0,2020-09-01,73
0,2020-10-01,30
0,2020-11-01,12
0,2020-12-01,50
0,2021-01-01,38
0,2021-02-01,19
0,2021-03-01,41
0,2021-04-01,45
0,2021-05-01,73
0,2021-06-01,100
0,2021-07-01,22
0,2021-08-01,41
0,2021-09-01,47
0,2021-10-01,34
0,2021-11-01,78
0,2021-12-01,68
0,2022-01-01,38
0,2022-02-01,35
0,2022-03-01,74
0,2022-04-01,66
0,2022-05-01,58
0,2022-06-01,90
0,2022-07-01,46
0,2022-08-01,39
0,2022-09-01,98
0,2022-10-01,43
0,2022-11-01,89
0,2022-12-01,17
1,2020-01-01,29
1,2020-02-01,58
1,2020-03-01,99
1,2020-04-01,86
1,2020-05-01,86
1,2020-06-01,45
1,2020-07-01,17
1,2020-08-01,12
1,2020-09-01,12
1,2020-10-01,30
1,2020-11-01,12
1,2020-12-01,28
1,2021-01-01,68
1,2021-02-01,46
1,2021-03-01,91
1,2021-04-01,43
1,2021-05-01,10
1,2021-06-01,57
1,2021-07-01,53
1,2021-08-01,13
1,2021-09-01,15
1,2021-10-01,54
1,2021-11-01,44
1,2021-12-01,69
1,2022-01-01,19
1,2022-02-01,52
1,2022-03-01,76
1,2022-04-01,38
1,2022-05-01,36
1,2022-06-01,85
1,2022-07-01,89
1,2022-08-01,78
1,2022-09-01,76
1,2022-10-01,74
1,2022-11-01,64
1,2022-12-01,72
2,2020-01-01,74
2,2020-02-01,91
2,2020-03-01,42
2,2020-04-01,35
2,2020-05-01,80
2,2020-06-01,16
2,2020-07-01,37
2,2020-08-01,24
2,2020-09-01,28
2,2020-10-01,61
2,2020-11-01,30
2,2020-12-01,46
2,2021-01-01,81
2,2021-02-01,67
2,2021-03-01,96
2,2021-04-01,71
2,2021-05-01,75
2,2021-06-01,21
2,2021-07-01,93
2,2021-08-01,66
2,2021-09-01,41
2,2021-10-01,13
2,2021-11-01,71
2,2021-12-01,36
2,2022-01-01,88
2,2022-02-01,41
2,2022-03-01,41
2,2022-04-01,91
2,2022-05-01,97
2,2022-06-01,24
2,2022-07-01,73
2,2022-08-01,68
2,2022-09-01,90
2,2022-10-01,68
2,2022-11-01,91
2,2022-12-01,97
3,2020-01-01,61
3,2020-02-01,77
3,2020-03-01,70
3,2020-04-01,66
3,2020-05-01,54
3,2020-06-01,66
3,2020-07-01,70
3,2020-08-01,70
3,2020-09-01,31
3,2020-10-01,61
3,2020-11-01,53
3,2020-12-01,84
3,2021-01-01,67
3,2021-02-01,70
3,2021-03-01,96
3,2021-04-01,51
3,2021-05-01,53
3,2021-06-01,44
3,2021-07-01,28
3,2021-08-01,73
3,2021-09-01,71
3,2021-10-01,37
3,2021-11-01,40
3,2021-12-01,33
3,2022-01-01,59
3,2022-02-01,49
3,2022-03-01,88
3,2022-04-01,27
3,2022-05-01,16
3,2022-06-01,30
3,2022-07-01,44
3,2022-08-01,42
3,2022-09-01,57
3,2022-10-01,69
3,2022-11-01,38
3,2022-12-01,78
4,2020-01-01,99
4,2020-02-01,47
4,2020-03-01,47
4,2020-04-01,39
4,2020-05-01,78
4,2020-06-01,87
4,2020-07-01,36
4,2020-08-01,35
4,2020-09-01,21
4,2020-10-01,71
4,2020-11-01,61
4,2020-12-01,85
4,2021-01-01,37
4,2021-02-01,43
4,2021-03-01,73
4,2021-04-01,72
4,2021-05-01,58
4,2021-06-01,29
4,2021-07-01,81
4,2021-08-01,84
4,2021-09-01,72
4,2021-10-01,18
4,2021-11-01,64
4,2021-12-01,54
4,2022-01-01,12
4,2022-02-01,77
4,2022-03-01,49
4,2022-04-01,63
4,2022-05-01,19
4,2022-06-01,18
4,2022-07-01,27
4,2022-08-01,92
4,2022-09-01,51
4,2022-10-01,50
4,2022-11-01,85
4,2022-12-01,58
5,2020-01-01,89
5,2020-02-01,81
5,2020-03-01,17
5,2020-04-01,87
5,2020-05-01,79
5,2020-06-01,96
5,2020-07-01,39
5,2020-08-01,90
5,2020-09-01,59
5,2020-10-01,47
5,2020-11-01,67
5,2020-12-01,16
5,2021-01-01,14
5,2021-02-01,21
5,2021-03-01,37
5,2021-04-01,58
5,2021-05-01,65
5,2021-06-01,57
5,2021-07-01,30
5,2021-08-01,49
5,2021-09-01,73
5,2021-10-01,27
5,2021-11-01,59
5,2021-12-01,74
5,2022-01-01,31
5,2022-02-01,39
5,2022-03-01,14
5,2022-04-01,40
5,2022-05-01,10
5,2022-06-01,10
5,2022-07-01,33
5,2022-08-01,31
5,2022-09-01,23
5,2022-10-01,88
5,2022-11-01,83
5,2022-12-01,60
6,2020-01-01,26
6,2020-02-01,56
6,2020-03-01,90
6,2020-04-01,41
6,2020-05-01,60
6,2020-06-01,18
6,2020-07-01,39
6,2020-08-01,43
6,2020-09-01,68
6,2020-10-01,60
6,2020-11-01,28
6,2020-12-01,33
6,2021-01-01,69
6,2021-02-01,30
6,2021-03-01,66
6,2021-04-01,37
6,2021-05-01,25
6,2021-06-01,96
6,2021-07-01,49
6,2021-08-01,12
6,2021-09-01,56
6,2021-10-01,67
6,2021-11-01,21
6,2021-12-01,41
6,2022-01-01,28
6,2022-02-01,96
6,2022-03-01,26
6,2022-04-01,79
6,2022-05-01,71
6,2022-06-01,50
6,2022-07-01,33
6,2022-08-01,95
6,2022-09-01,12
6,2022-10-01,94
6,2022-11-01,90
6,2022-12-01,82
7,2020-01-01,39
7,2020-02-01,100
7,2020-03-01,11
7,2020-04-01,32
7,2020-05-01,66
7,2020-06-01,26
7,2020-07-01,86
7,2020-08-01,25
7,2020-09-01,50
7,2020-10-01,95
7,2020-11-01,43
7,2020-12-01,29
7,2021-01-01,74
7,2021-02-01,49
7,2021-03-01,68
7,2021-04-01,81
7,2021-05-01,66
