Prod_id,ds
2973,2020-01-01
2973,2020-02-01
2973,2020-03-01
2973,2020-04-01
2973,2020-05-01
2973,2020-06-01
2973,2020-07-01
2973,2020-08-01
2973,2020-09-01
2973,2020-10-01
2973,2020-11-01
2973,2020-12-01
2973,2021-01-01
2973,2021-02-01
2973,2021-03-01
2973,2021-04-01
2973,2021-05-01
2973,2021-06-01
2973,2021-07-01
2973,2021-08-01
2973,2021-09-01
2973,2021-10-01
2973,2021-11-01
2973,2021-12-01
2973,2022-01-01
2973,2022-02-01
2973,2022-03-01
2973,2022-04-01
2973,2022-05-01
2973,2022-06-01
2973,2022-07-01
2973,2022-08-01
2973,2022-09-01
2973,2022-10-01
2973,2022-11-01
2973,2022-12-01
2974,2020-01-01
2974,2020-02-01
2974,2020-03-01
2974,2020-04-01
2974,2020-05-01
2974,2020-06-01
2974,2020-07-01
2974,2020-08-01
2974,2020-09-01
2974,2020-10-01
2974,2020-11-01
2974,2020-12-01
2974,2021-01-01
2974,2021-02-01
2974,2021-03-01
2974,2021-04-01
2974,2021-05-01
2974,2021-06-01
2974,2021-07-01
2974,2021-08-01
2974,2021-09-01
2974,2021-10-01
2974,2021-11-01
2974,2021-12-01
2974,2022-01-01
2974,2022-02-01
2974,2022-03-01
2974,2022-04-01
2974,2022-05-01
2974,2022-06-01
2974,2022-07-01
2974,2022-08-01
2974,2022-09-01
2974,2022-10-01
2974,2022-11-01
2974,2022-12-01
2975,2020-01-01
2975,2020-02-01
2975,2020-03-01
2975,2020-04-01
2975,2020-05-01
2975,2020-06-01
2975,2020-07-01
2975,2020-08-01
2975,2020-09-01
2975,2020-10-01
2975,2020-11-01
2975,2020-12-01
2975,2021-01-01
2975,2021-02-01
2975,2021-03-01
2975,2021-04-01
2975,2021-05-01
2975,2021-06-01
2975,2021-07-01
2975,2021-08-01
2975,2021-09-01
2975,2021-10-01
2975,2021-11-01
2975,2021-12-01
2975,2022-01-01
2975,2022-02-01
2975,2022-03-01
2975,2022-04-01
2975,2022-05-01
2975,2022-06-01
2975,2022-07-01
2975,2022-08-01
2975,2022-09-01
2975,2022-10-01
2975,2022-11-01
2975,2022-12-01
2976,2020-01-01
2976,2020-02-01
2976,2020-03-01
2976,2020-04-01
2976,2020-05-01
2976,2020-06-01
2976,2020-07-01
2976,2020-08-01
2976,2020-09-01
2976,2020-10-01
2976,2020-11-01
2976,2020-12-01
2976,2021-01-01
2976,2021-02-01
2976,2021-03-01
2976,2021-04-01
2976,2021-05-01
2976,2021-06-01
2976,2021-07-01
2976,2021-08-01
2976,2021-09-01
2976,2021-10-01
2976,2021-11-01
2976,2021-12-01
2976,2022-01-01
2976,2022-02-01
2976,2022-03-01
2976,2022-04-01
2976,2022-05-01
2976,2022-06-01
2976,2022-07-01
2976,2022-08-01
2976,2022-09-01
2976,2022-10-01
2976,2022-11-01
2976,2022-12-01
2977,2020-01-01
2977,2020-02-01
2977,2020-03-01
2977,2020-04-01
2977,2020-05-01
2977,2020-06-01
2977,2020-07-01
2977,2020-08-01
2977,2020-09-01
2977,2020-10-01
2977,2020-11-01
2977,2020-12-01
2977,2021-01-01
2977,2021-02-01
2977,2021-03-01
2977,2021-04-01
2977,2021-05-01
2977,2021-06-01
2977,2021-07-01
2977,2021-08-01
2977,2021-09-01
2977,2021-10-01
2977,2021-11-01
2977,2021-12-01
2977,2022-01-01
2977,2022-02-01
2977,2022-03-01
2977,2022-04-01
2977,2022-05-01
2977,2022-06-01
2977,2022-07-01
2977,2022-08-01
2977,2022-09-01
2977,2022-10-01
2977,2022-11-01
2977,2022-12-01
2978,2020-01-01
2978,2020-02-01
2978,2020-03-01
2978,2020-04-01
2978,2020-05-01
2978,2020-06-01
2978,2020-07-01
2978,2020-08-01
2978,2020-09-01
2978,2020-10-01
2978,2020-11-01
2978,2020-12-01
2978,2021-01-01
2978,2021-02-01
2978,2021-03-01
2978,2021-04-01
2978,2021-05-01
2978,2021-06-01
2978,2021-07-01
2978,2021-08-01
2978,2021-09-01
2978,2021-10-01
2978,2021-11-01
2978,2021-12-01
2978,2022-01-01
2978,2022-02-01
2978,2022-03-01
2978,2022-04-01
2978,2022-05-01
2978,2022-06-01
2978,2022-07-01
2978,2022-08-01
2978,2022-09-01
2978,2022-10-01
2978,2022-11-01
2978,2022-12-01
2979,2020-01-01
2979,2020-02-01
2979,2020-03-01
2979,2020-04-01
2979,2020-05-01
2979,2020-06-01
2979,2020-07-01
2979,2020-08-01
2979,2020-09-01
2979,2020-10-01
2979,2020-11-01
2979,2020-12-01
2979,2021-01-01
2979,2021-02-01
2979,2021-03-01
2979,2021-04-01
2979,2021-05-01
2979,2021-06-01
2979,2021-07-01
2979,2021-08-01
2979,2021-09-01
2979,2021-10-01
2979,2021-11-01
2979,2021-12-01
2979,2022-01-01
2979,2022-02-01
2979,2022-03-01
2979,2022-04-01
2979,2022-05-01
2979,2022-06-01
2979,2022-07-01
2979,2022-08-01
2979,2022-09-01
2979,2022-10-01
2979,2022-11-01
2979,2022-12-01
2980,2020-01-01
2980,2020-02-01
2980,2020-03-01
2980,2020-04-01
2980,2020-05-01
2980,2020-06-01
2980,2020-07-01
2980,2020-08-01
2980,2020-09-01
2980,2020-10-01
2980,2020-11-01
2980,2020-12-01
2980,2021-01-01
2980,2021-02-01
2980,2021-03-01
2980,2021-04-01
2980,2021-05-01
2980,2021-06-01
2980,2021-07-01
2980,2021-08-01
2980,2021-09-01
2980,2021-10-01
2980,2021-11-01
2980,2021-12-01
2980,2022-01-01
2980,2022-02-01
2980,2022-03-01
2980,2022-04-01
2980,2022-05-01
2980,2022-06-01
2980,2022-07-01
2980,2022-08-01
2980,2022-09-01
2980,2022-10-01
2980,2022-11-01
2980,2022-12-01
2981,2020-01-01
2981,2020-02-01
2981,2020-03-01
2981,2020-04-01
2981,2020-05-01
2981,2020-06-01
2981,2020-07-01
2981,2020-08-01
2981,2020-09-01
2981,2020-10-01
2981,2020-11-01
2981,2020-12-01
2981,2021-01-01
2981,2021-02-01
2981,2021-03-01
2981,2021-04-01
2981,2021-05-01
2981,2021-06-01
2981,2021-07-01
2981,2021-08-01
2981,2021-09-01
2981,2021-10-01
2981,2021-11-01
2981,2021-12-01
2981,2022-01-01
2981,2022-02-01
2981,2022-03-01
2981,2022-04-01
2981,2022-05-01
2981,2022-06-01
2981,2022-07-01
2981,2022-08-01
2981,2022-09-01
2981,2022-10-01
2981,2022-11-01
2981,2022-12-01
2982,2020-01-01
2982,2020-02-01
2982,2020-03-01
2982,2020-04-01
2982,2020-05-01
2982,2020-06-01
2982,2020-07-01
2982,2020-08-01
2982,2020-09-01
2982,2020-10-01
2982,2020-11-01
2982,2020-12-01
2982,2021-01-01
2982,2021-02-01
2982,2021-03-01
2982,2021-04-01
2982,2021-05-01
2982,2021-06-01
2982,2021-07-01
2982,2021-08-01
2982,2021-09-01
2982,2021-10-01
2982,2021-11-01
2982,2021-12-01
2982,2022-01-01
2982,2022-02-01
2982,2022-03-01
2982,2022-04-01
2982,2022-05-01
2982,2022-06-01
2982,2022-07-01
2982,2022-08-01
2982,2022-09-01
2982,2022-10-01
2982,2022-11-01
2982,2022-12-01
2983,2020-01-01
2983,2020-02-01
2983,2020-03-01
2983,2020-04-01
2983,2020-05-01
2983,2020-06-01
2983,2020-07-01
2983,2020-08-01
2983,2020-09-01
2983,2020-10-01
2983,2020-11-01
2983,2020-12-01
2983,2021-01-01
2983,2021-02-01
2983,2021-03-01
2983,2021-04-01
2983,2021-05-01
2983,2021-06-01
2983,2021-07-01
2983,2021-08-01
2983,2021-09-01
2983,2021-10-01
2983,2021-11-01
2983,2021-12-01
2983,2022-01-01
2983,2022-02-01
2983,2022-03-01
2983,2022-04-01
2983,2022-05-01
2983,2022-06-01
2983,2022-07-01
2983,2022-08-01
2983,2022-09-01
2983,2022-10-01
2983,2022-11-01
2983,2022-12-01
2984,2020-01-01
2984,2020-02-01
2984,2020-03-01
2984,2020-04-01
2984,2020-05-01
2984,2020-06-01
2984,2020-07-01
2984,2020-08-01
2984,2020-09-01
2984,2020-10-01
2984,2020-11-01
2984,2020-12-01
2984,2021-01-01
2984,2021-02-01
2984,2021-03-01
2984,2021-04-01
2984,2021-05-01
2984,2021-06-01
2984,2021-07-01
2984,2021-08-01
2984,2021-09-01
2984,2021-10-01
2984,2021-11-01
2984,2021-12-01
2984,2022-01-01
2984,2022-02-01
2984,2022-03-01
2984,2022-04-01
2984,2022-05-01
2984,2022-06-01
2984,2022-07-01
2984,2022-08-01
2984,2022-09-01
2984,2022-10-01
2984,2022-11-01
2984,2022-12-01
2985,2020-01-01
2985,2020-02-01
2985,2020-03-01
2985,2020-04-01
2985,2020-05-01
2985,2020-06-01
2985,2020-07-01
2985,2020-08-01
2985,2020-09-01
2985,2020-10-01
2985,2020-11-01
2985,2020-12-01
2985,2021-01-01
2985,2021-02-01
2985,2021-03-01
2985,2021-04-01
2985,2021-05-01
2985,2021-06-01
2985,2021-07-01
2985,2021-08-01
2985,2021-09-01
2985,2021-10-01
2985,2021-11-01
2985,2021-12-01
2985,2022-01-01
2985,2022-02-01
2985,2022-03-01
2985,2022-04-01
2985,2022-05-01
2985,2022-06-01
2985,2022-07-01
2985,2022-08-01
2985,2022-09-01
2985,2022-10-01
2985,2022-11-01
2985,2022-12-01
2986,2020-01-01
2986,2020-02-01
2986,2020-03-01
2986,2020-04-01
2986,2020-05-01
2986,2020-06-01
2986,2020-07-01
2986,2020-08-01
2986,2020-09-01
2986,2020-10-01
2986,2020-11-01
2986,2020-12-01
2986,2021-01-01
2986,2021-02-01
2986,2021-03-01
2986,2021-04-01
2986,2021-05-01
2986,2021-06-01
2986,2021-07-01
2986,2021-08-01
2986,2021-09-01
2986,2021-10-01
2986,2021-11-01
2986,2021-12-01
2986,2022-01-01
2986,2022-02-01
2986,2022-03-01
2986,2022-04-01
2986,2022-05-01
2986,2022-06-01
2986,2022-07-01
2986,2022-08-01
2986,2022-09-01
2986,2022-10-01
2986,2022-11-01
2986,2022-12-01
2987,2020-01-01
2987,2020-02-01
2987,2020-03-01
2987,2020-04-01
2987,2020-05-01
2987,2020-06-01
2987,2020-07-01
2987,2020-08-01
2987,2020-09-01
2987,2020-10-01
2987,2020-11-01
2987,2020-12-01
2987,2021-01-01
2987,2021-02-01
2987,2021-03-01
2987,2021-04-01
2987,2021-05-01
2987,2021-06-01
2987,2021-07-01
2987,2021-08-01
2987,2021-09-01
2987,2021-10-01
2987,2021-11-01
2987,2021-12-01
2987,2022-01-01
2987,2022-02-01
2987,2022-03-01
2987,2022-04-01
2987,2022-05-01
2987,2022-06-01
2987,2022-07-01
