Prod_id,ds
9274,2020-01-01
9274,2020-02-01
9274,2020-03-01
9274,2020-04-01
9274,2020-05-01
9274,2020-06-01
9274,2020-07-01
9274,2020-08-01
9274,2020-09-01
9274,2020-10-01
9274,2020-11-01
9274,2020-12-01
9274,2021-01-01
9274,2021-02-01
9274,2021-03-01
9274,2021-04-01
9274,2021-05-01
9274,2021-06-01
9274,2021-07-01
9274,2021-08-01
9274,2021-09-01
9274,2021-10-01
9274,2021-11-01
9274,2021-12-01
9274,2022-01-01
9274,2022-02-01
9274,2022-03-01
9274,2022-04-01
9274,2022-05-01
9274,2022-06-01
9274,2022-07-01
9274,2022-08-01
9274,2022-09-01
9274,2022-10-01
9274,2022-11-01
9274,2022-12-01
9275,2020-01-01
9275,2020-02-01
9275,2020-03-01
9275,2020-04-01
9275,2020-05-01
9275,2020-06-01
9275,2020-07-01
9275,2020-08-01
9275,2020-09-01
9275,2020-10-01
9275,2020-11-01
9275,2020-12-01
9275,2021-01-01
9275,2021-02-01
9275,2021-03-01
9275,2021-04-01
9275,2021-05-01
9275,2021-06-01
9275,2021-07-01
9275,2021-08-01
9275,2021-09-01
9275,2021-10-01
9275,2021-11-01
9275,2021-12-01
9275,2022-01-01
9275,2022-02-01
9275,2022-03-01
9275,2022-04-01
9275,2022-05-01
9275,2022-06-01
9275,2022-07-01
9275,2022-08-01
9275,2022-09-01
9275,2022-10-01
9275,2022-11-01
9275,2022-12-01
9276,2020-01-01
9276,2020-02-01
9276,2020-03-01
9276,2020-04-01
9276,2020-05-01
9276,2020-06-01
9276,2020-07-01
9276,2020-08-01
9276,2020-09-01
9276,2020-10-01
9276,2020-11-01
9276,2020-12-01
9276,2021-01-01
9276,2021-02-01
9276,2021-03-01
9276,2021-04-01
9276,2021-05-01
9276,2021-06-01
9276,2021-07-01
9276,2021-08-01
9276,2021-09-01
9276,2021-10-01
9276,2021-11-01
9276,2021-12-01
9276,2022-01-01
9276,2022-02-01
9276,2022-03-01
9276,2022-04-01
9276,2022-05-01
9276,2022-06-01
9276,2022-07-01
9276,2022-08-01
9276,2022-09-01
9276,2022-10-01
9276,2022-11-01
9276,2022-12-01
9277,2020-01-01
9277,2020-02-01
9277,2020-03-01
9277,2020-04-01
9277,2020-05-01
9277,2020-06-01
9277,2020-07-01
9277,2020-08-01
9277,2020-09-01
9277,2020-10-01
9277,2020-11-01
9277,2020-12-01
9277,2021-01-01
9277,2021-02-01
9277,2021-03-01
9277,2021-04-01
9277,2021-05-01
9277,2021-06-01
9277,2021-07-01
9277,2021-08-01
9277,2021-09-01
9277,2021-10-01
9277,2021-11-01
9277,2021-12-01
9277,2022-01-01
9277,2022-02-01
9277,2022-03-01
9277,2022-04-01
9277,2022-05-01
9277,2022-06-01
9277,2022-07-01
9277,2022-08-01
9277,2022-09-01
9277,2022-10-01
9277,2022-11-01
9277,2022-12-01
9278,2020-01-01
9278,2020-02-01
9278,2020-03-01
9278,2020-04-01
9278,2020-05-01
9278,2020-06-01
9278,2020-07-01
9278,2020-08-01
