Prod_id,ds
7567,2020-01-01
7567,2020-02-01
7567,2020-03-01
7567,2020-04-01
7567,2020-05-01
7567,2020-06-01
7567,2020-07-01
7567,2020-08-01
7567,2020-09-01
7567,2020-10-01
7567,2020-11-01
7567,2020-12-01
7567,2021-01-01
7567,2021-02-01
7567,2021-03-01
7567,2021-04-01
7567,2021-05-01
7567,2021-06-01
7567,2021-07-01
7567,2021-08-01
7567,2021-09-01
7567,2021-10-01
7567,2021-11-01
7567,2021-12-01
7567,2022-01-01
7567,2022-02-01
7567,2022-03-01
7567,2022-04-01
7567,2022-05-01
7567,2022-06-01
7567,2022-07-01
7567,2022-08-01
7567,2022-09-01
7567,2022-10-01
7567,2022-11-01
7567,2022-12-01
7568,2020-01-01
7568,2020-02-01
7568,2020-03-01
7568,2020-04-01
7568,2020-05-01
7568,2020-06-01
7568,2020-07-01
7568,2020-08-01
7568,2020-09-01
7568,2020-10-01
7568,2020-11-01
7568,2020-12-01
7568,2021-01-01
7568,2021-02-01
7568,2021-03-01
7568,2021-04-01
7568,2021-05-01
7568,2021-06-01
7568,2021-07-01
7568,2021-08-01
7568,2021-09-01
7568,2021-10-01
7568,2021-11-01
7568,2021-12-01
7568,2022-01-01
7568,2022-02-01
7568,2022-03-01
7568,2022-04-01
7568,2022-05-01
7568,2022-06-01
7568,2022-07-01
7568,2022-08-01
7568,2022-09-01
7568,2022-10-01
7568,2022-11-01
7568,2022-12-01
7569,2020-01-01
7569,2020-02-01
7569,2020-03-01
7569,2020-04-01
7569,2020-05-01
7569,2020-06-01
7569,2020-07-01
7569,2020-08-01
7569,2020-09-01
7569,2020-10-01
7569,2020-11-01
7569,2020-12-01
7569,2021-01-01
7569,2021-02-01
7569,2021-03-01
7569,2021-04-01
7569,2021-05-01
7569,2021-06-01
7569,2021-07-01
7569,2021-08-01
7569,2021-09-01
7569,2021-10-01
7569,2021-11-01
7569,2021-12-01
7569,2022-01-01
7569,2022-02-01
7569,2022-03-01
7569,2022-04-01
7569,2022-05-01
7569,2022-06-01
7569,2022-07-01
7569,2022-08-01
7569,2022-09-01
7569,2022-10-01
7569,2022-11-01
7569,2022-12-01
7570,2020-01-01
7570,2020-02-01
7570,2020-03-01
7570,2020-04-01
7570,2020-05-01
7570,2020-06-01
7570,2020-07-01
7570,2020-08-01
7570,2020-09-01
7570,2020-10-01
7570,2020-11-01
7570,2020-12-01
7570,2021-01-01
7570,2021-02-01
7570,2021-03-01
7570,2021-04-01
7570,2021-05-01
7570,2021-06-01
7570,2021-07-01
7570,2021-08-01
7570,2021-09-01
7570,2021-10-01
7570,2021-11-01
7570,2021-12-01
7570,2022-01-01
7570,2022-02-01
7570,2022-03-01
7570,2022-04-01
7570,2022-05-01
7570,2022-06-01
7570,2022-07-01
7570,2022-08-01
7570,2022-09-01
7570,2022-10-01
7570,2022-11-01
7570,2022-12-01
7571,2020-01-01
7571,2020-02-01
7571,2020-03-01
7571,2020-04-01
7571,2020-05-01
7571,2020-06-01
7571,2020-07-01
7571,2020-08-01
7571,2020-09-01
7571,2020-10-01
7571,2020-11-01
7571,2020-12-01
7571,2021-01-01
7571,2021-02-01
7571,2021-03-01
7571,2021-04-01
7571,2021-05-01
7571,2021-06-01
7571,2021-07-01
7571,2021-08-01
7571,2021-09-01
7571,2021-10-01
7571,2021-11-01
7571,2021-12-01
7571,2022-01-01
7571,2022-02-01
7571,2022-03-01
7571,2022-04-01
7571,2022-05-01
7571,2022-06-01
7571,2022-07-01
7571,2022-08-01
7571,2022-09-01
7571,2022-10-01
7571,2022-11-01
7571,2022-12-01
7572,2020-01-01
7572,2020-02-01
7572,2020-03-01
7572,2020-04-01
7572,2020-05-01
7572,2020-06-01
7572,2020-07-01
7572,2020-08-01
7572,2020-09-01
7572,2020-10-01
7572,2020-11-01
7572,2020-12-01
7572,2021-01-01
7572,2021-02-01
7572,2021-03-01
7572,2021-04-01
7572,2021-05-01
7572,2021-06-01
7572,2021-07-01
7572,2021-08-01
7572,2021-09-01
7572,2021-10-01
7572,2021-11-01
7572,2021-12-01
7572,2022-01-01
7572,2022-02-01
7572,2022-03-01
7572,2022-04-01
7572,2022-05-01
7572,2022-06-01
7572,2022-07-01
7572,2022-08-01
7572,2022-09-01
7572,2022-10-01
7572,2022-11-01
7572,2022-12-01
7573,2020-01-01
7573,2020-02-01
7573,2020-03-01
7573,2020-04-01
7573,2020-05-01
7573,2020-06-01
7573,2020-07-01
7573,2020-08-01
7573,2020-09-01
7573,2020-10-01
7573,2020-11-01
7573,2020-12-01
7573,2021-01-01
7573,2021-02-01
7573,2021-03-01
7573,2021-04-01
7573,2021-05-01
7573,2021-06-01
7573,2021-07-01
7573,2021-08-01
7573,2021-09-01
7573,2021-10-01
7573,2021-11-01
7573,2021-12-01
7573,2022-01-01
7573,2022-02-01
7573,2022-03-01
7573,2022-04-01
7573,2022-05-01
7573,2022-06-01
7573,2022-07-01
7573,2022-08-01
7573,2022-09-01
7573,2022-10-01
7573,2022-11-01
7573,2022-12-01
7574,2020-01-01
7574,2020-02-01
7574,2020-03-01
7574,2020-04-01
7574,2020-05-01
7574,2020-06-01
7574,2020-07-01
7574,2020-08-01
7574,2020-09-01
7574,2020-10-01
7574,2020-11-01
7574,2020-12-01
7574,2021-01-01
7574,2021-02-01
7574,2021-03-01
7574,2021-04-01
7574,2021-05-01
7574,2021-06-01
7574,2021-07-01
7574,2021-08-01
7574,2021-09-01
7574,2021-10-01
7574,2021-11-01
7574,2021-12-01
7574,2022-01-01
7574,2022-02-01
7574,2022-03-01
7574,2022-04-01
7574,2022-05-01
7574,2022-06-01
7574,2022-07-01
7574,2022-08-01
7574,2022-09-01
7574,2022-10-01
7574,2022-11-01
7574,2022-12-01
7575,2020-01-01
7575,2020-02-01
7575,2020-03-01
7575,2020-04-01
7575,2020-05-01
7575,2020-06-01
7575,2020-07-01
7575,2020-08-01
7575,2020-09-01
7575,2020-10-01
7575,2020-11-01
7575,2020-12-01
7575,2021-01-01
7575,2021-02-01
7575,2021-03-01
7575,2021-04-01
7575,2021-05-01
7575,2021-06-01
7575,2021-07-01
7575,2021-08-01
7575,2021-09-01
7575,2021-10-01
7575,2021-11-01
7575,2021-12-01
7575,2022-01-01
7575,2022-02-01
7575,2022-03-01
7575,2022-04-01
7575,2022-05-01
7575,2022-06-01
7575,2022-07-01
7575,2022-08-01
7575,2022-09-01
7575,2022-10-01
7575,2022-11-01
7575,2022-12-01
7576,2020-01-01
7576,2020-02-01
7576,2020-03-01
7576,2020-04-01
7576,2020-05-01
7576,2020-06-01
7576,2020-07-01
7576,2020-08-01
7576,2020-09-01
7576,2020-10-01
7576,2020-11-01
7576,2020-12-01
7576,2021-01-01
7576,2021-02-01
7576,2021-03-01
7576,2021-04-01
7576,2021-05-01
7576,2021-06-01
7576,2021-07-01
7576,2021-08-01
7576,2021-09-01
7576,2021-10-01
7576,2021-11-01
7576,2021-12-01
7576,2022-01-01
7576,2022-02-01
7576,2022-03-01
7576,2022-04-01
7576,2022-05-01
7576,2022-06-01
7576,2022-07-01
7576,2022-08-01
7576,2022-09-01
7576,2022-10-01
7576,2022-11-01
7576,2022-12-01
7577,2020-01-01
7577,2020-02-01
7577,2020-03-01
7577,2020-04-01
7577,2020-05-01
7577,2020-06-01
7577,2020-07-01
7577,2020-08-01
7577,2020-09-01
7577,2020-10-01
7577,2020-11-01
7577,2020-12-01
7577,2021-01-01
7577,2021-02-01
7577,2021-03-01
7577,2021-04-01
7577,2021-05-01
7577,2021-06-01
7577,2021-07-01
7577,2021-08-01
7577,2021-09-01
7577,2021-10-01
7577,2021-11-01
7577,2021-12-01
7577,2022-01-01
7577,2022-02-01
7577,2022-03-01
7577,2022-04-01
7577,2022-05-01
7577,2022-06-01
7577,2022-07-01
7577,2022-08-01
7577,2022-09-01
7577,2022-10-01
7577,2022-11-01
7577,2022-12-01
7578,2020-01-01
7578,2020-02-01
7578,2020-03-01
7578,2020-04-01
7578,2020-05-01
7578,2020-06-01
7578,2020-07-01
7578,2020-08-01
7578,2020-09-01
7578,2020-10-01
7578,2020-11-01
7578,2020-12-01
7578,2021-01-01
7578,2021-02-01
7578,2021-03-01
7578,2021-04-01
7578,2021-05-01
7578,2021-06-01
7578,2021-07-01
7578,2021-08-01
7578,2021-09-01
7578,2021-10-01
7578,2021-11-01
7578,2021-12-01
7578,2022-01-01
7578,2022-02-01
7578,2022-03-01
7578,2022-04-01
7578,2022-05-01
7578,2022-06-01
7578,2022-07-01
7578,2022-08-01
7578,2022-09-01
7578,2022-10-01
7578,2022-11-01
7578,2022-12-01
7579,2020-01-01
7579,2020-02-01
7579,2020-03-01
7579,2020-04-01
7579,2020-05-01
7579,2020-06-01
7579,2020-07-01
7579,2020-08-01
7579,2020-09-01
7579,2020-10-01
7579,2020-11-01
7579,2020-12-01
7579,2021-01-01
7579,2021-02-01
7579,2021-03-01
7579,2021-04-01
7579,2021-05-01
7579,2021-06-01
7579,2021-07-01
7579,2021-08-01
7579,2021-09-01
7579,2021-10-01
7579,2021-11-01
7579,2021-12-01
