Prod_id,ds,y
7567,2012-01-01,98
7567,2012-02-01,45
7567,2012-03-01,81
7567,2012-04-01,89
7567,2012-05-01,28
7567,2012-06-01,60
7567,2012-07-01,56
7567,2012-08-01,83
7567,2012-09-01,79
7567,2012-10-01,96
7567,2012-11-01,83
7567,2012-12-01,96
7567,2013-01-01,69
7567,2013-02-01,51
7567,2013-03-01,91
7567,2013-04-01,41
7567,2013-05-01,49
7567,2013-06-01,22
7567,2013-07-01,23
7567,2013-08-01,44
7567,2013-09-01,20
7567,2013-10-01,70
7567,2013-11-01,17
7567,2013-12-01,22
7567,2014-01-01,59
7567,2014-02-01,53
7567,2014-03-01,21
7567,2014-04-01,27
7567,2014-05-01,12
7567,2014-06-01,90
7567,2014-07-01,87
7567,2014-08-01,94
7567,2014-09-01,72
7567,2014-10-01,20
7567,2014-11-01,49
7567,2014-12-01,34
7567,2015-01-01,21
7567,2015-02-01,28
7567,2015-03-01,84
7567,2015-04-01,64
7567,2015-05-01,62
7567,2015-06-01,70
7567,2015-07-01,37
7567,2015-08-01,30
7567,2015-09-01,28
7567,2015-10-01,32
7567,2015-11-01,43
7567,2015-12-01,90
7567,2016-01-01,17
7567,2016-02-01,91
7567,2016-03-01,27
7567,2016-04-01,41
7567,2016-05-01,48
7567,2016-06-01,27
7567,2016-07-01,83
7567,2016-08-01,68
7567,2016-09-01,64
7567,2016-10-01,93
7567,2016-11-01,88
7567,2016-12-01,49
7567,2017-01-01,91
7567,2017-02-01,14
7567,2017-03-01,100
7567,2017-04-01,78
7567,2017-05-01,19
7567,2017-06-01,96
7567,2017-07-01,25
7567,2017-08-01,100
7567,2017-09-01,11
7567,2017-10-01,24
7567,2017-11-01,86
7567,2017-12-01,81
7567,2018-01-01,67
7567,2018-02-01,28
7567,2018-03-01,99
7567,2018-04-01,71
7567,2018-05-01,12
7567,2018-06-01,13
7567,2018-07-01,56
7567,2018-08-01,28
7567,2018-09-01,86
7567,2018-10-01,86
7567,2018-11-01,58
7567,2018-12-01,35
7567,2019-01-01,11
7567,2019-02-01,49
7567,2019-03-01,48
7567,2019-04-01,43
7567,2019-05-01,69
7567,2019-06-01,20
7567,2019-07-01,42
7567,2019-08-01,98
7567,2019-09-01,95
7567,2019-10-01,41
7567,2019-11-01,90
7567,2019-12-01,32
7568,2012-01-01,27
7568,2012-02-01,24
7568,2012-03-01,60
7568,2012-04-01,30
7568,2012-05-01,86
7568,2012-06-01,91
7568,2012-07-01,96
7568,2012-08-01,37
7568,2012-09-01,53
7568,2012-10-01,39
7568,2012-11-01,48
7568,2012-12-01,24
7568,2013-01-01,80
7568,2013-02-01,72
7568,2013-03-01,70
7568,2013-04-01,99
7568,2013-05-01,92
7568,2013-06-01,100
7568,2013-07-01,97
7568,2013-08-01,20
7568,2013-09-01,50
7568,2013-10-01,89
7568,2013-11-01,92
7568,2013-12-01,17
7568,2014-01-01,48
7568,2014-02-01,86
7568,2014-03-01,49
7568,2014-04-01,35
7568,2014-05-01,69
7568,2014-06-01,73
7568,2014-07-01,66
7568,2014-08-01,31
