Prod_id,ds
5395,2020-01-01
5395,2020-02-01
5395,2020-03-01
5395,2020-04-01
5395,2020-05-01
5395,2020-06-01
5395,2020-07-01
5395,2020-08-01
5395,2020-09-01
5395,2020-10-01
5395,2020-11-01
5395,2020-12-01
5395,2021-01-01
5395,2021-02-01
5395,2021-03-01
5395,2021-04-01
5395,2021-05-01
5395,2021-06-01
5395,2021-07-01
5395,2021-08-01
5395,2021-09-01
5395,2021-10-01
5395,2021-11-01
5395,2021-12-01
5395,2022-01-01
5395,2022-02-01
5395,2022-03-01
5395,2022-04-01
5395,2022-05-01
5395,2022-06-01
5395,2022-07-01
5395,2022-08-01
5395,2022-09-01
5395,2022-10-01
5395,2022-11-01
5395,2022-12-01
5396,2020-01-01
5396,2020-02-01
5396,2020-03-01
5396,2020-04-01
5396,2020-05-01
5396,2020-06-01
5396,2020-07-01
5396,2020-08-01
5396,2020-09-01
5396,2020-10-01
5396,2020-11-01
5396,2020-12-01
5396,2021-01-01
5396,2021-02-01
5396,2021-03-01
5396,2021-04-01
5396,2021-05-01
5396,2021-06-01
5396,2021-07-01
5396,2021-08-01
5396,2021-09-01
5396,2021-10-01
5396,2021-11-01
5396,2021-12-01
5396,2022-01-01
5396,2022-02-01
5396,2022-03-01
5396,2022-04-01
5396,2022-05-01
5396,2022-06-01
5396,2022-07-01
5396,2022-08-01
5396,2022-09-01
5396,2022-10-01
5396,2022-11-01
5396,2022-12-01
5397,2020-01-01
5397,2020-02-01
5397,2020-03-01
5397,2020-04-01
5397,2020-05-01
5397,2020-06-01
5397,2020-07-01
5397,2020-08-01
5397,2020-09-01
5397,2020-10-01
5397,2020-11-01
5397,2020-12-01
5397,2021-01-01
5397,2021-02-01
5397,2021-03-01
5397,2021-04-01
5397,2021-05-01
5397,2021-06-01
5397,2021-07-01
5397,2021-08-01
5397,2021-09-01
5397,2021-10-01
5397,2021-11-01
5397,2021-12-01
5397,2022-01-01
5397,2022-02-01
5397,2022-03-01
5397,2022-04-01
5397,2022-05-01
5397,2022-06-01
5397,2022-07-01
5397,2022-08-01
5397,2022-09-01
5397,2022-10-01
5397,2022-11-01
5397,2022-12-01
5398,2020-01-01
5398,2020-02-01
5398,2020-03-01
5398,2020-04-01
5398,2020-05-01
5398,2020-06-01
5398,2020-07-01
5398,2020-08-01
5398,2020-09-01
5398,2020-10-01
5398,2020-11-01
5398,2020-12-01
5398,2021-01-01
5398,2021-02-01
5398,2021-03-01
5398,2021-04-01
5398,2021-05-01
5398,2021-06-01
5398,2021-07-01
5398,2021-08-01
5398,2021-09-01
5398,2021-10-01
5398,2021-11-01
5398,2021-12-01
5398,2022-01-01
5398,2022-02-01
5398,2022-03-01
5398,2022-04-01
5398,2022-05-01
5398,2022-06-01
5398,2022-07-01
5398,2022-08-01
5398,2022-09-01
5398,2022-10-01
5398,2022-11-01
5398,2022-12-01
5399,2020-01-01
5399,2020-02-01
5399,2020-03-01
5399,2020-04-01
5399,2020-05-01
5399,2020-06-01
5399,2020-07-01
5399,2020-08-01
5399,2020-09-01
5399,2020-10-01
5399,2020-11-01
5399,2020-12-01
5399,2021-01-01
5399,2021-02-01
5399,2021-03-01
5399,2021-04-01
5399,2021-05-01
5399,2021-06-01
5399,2021-07-01
5399,2021-08-01
5399,2021-09-01
5399,2021-10-01
5399,2021-11-01
5399,2021-12-01
5399,2022-01-01
5399,2022-02-01
5399,2022-03-01
5399,2022-04-01
5399,2022-05-01
5399,2022-06-01
5399,2022-07-01
5399,2022-08-01
5399,2022-09-01
5399,2022-10-01
5399,2022-11-01
5399,2022-12-01
5400,2020-01-01
5400,2020-02-01
5400,2020-03-01
5400,2020-04-01
5400,2020-05-01
5400,2020-06-01
5400,2020-07-01
5400,2020-08-01
5400,2020-09-01
5400,2020-10-01
5400,2020-11-01
5400,2020-12-01
5400,2021-01-01
5400,2021-02-01
5400,2021-03-01
5400,2021-04-01
5400,2021-05-01
5400,2021-06-01
5400,2021-07-01
5400,2021-08-01
5400,2021-09-01
5400,2021-10-01
5400,2021-11-01
5400,2021-12-01
5400,2022-01-01
5400,2022-02-01
5400,2022-03-01
5400,2022-04-01
5400,2022-05-01
5400,2022-06-01
5400,2022-07-01
5400,2022-08-01
5400,2022-09-01
5400,2022-10-01
5400,2022-11-01
5400,2022-12-01
5401,2020-01-01
5401,2020-02-01
5401,2020-03-01
5401,2020-04-01
5401,2020-05-01
5401,2020-06-01
5401,2020-07-01
5401,2020-08-01
5401,2020-09-01
5401,2020-10-01
5401,2020-11-01
5401,2020-12-01
5401,2021-01-01
5401,2021-02-01
5401,2021-03-01
5401,2021-04-01
5401,2021-05-01
5401,2021-06-01
5401,2021-07-01
5401,2021-08-01
5401,2021-09-01
5401,2021-10-01
5401,2021-11-01
5401,2021-12-01
5401,2022-01-01
5401,2022-02-01
5401,2022-03-01
5401,2022-04-01
5401,2022-05-01
5401,2022-06-01
5401,2022-07-01
5401,2022-08-01
5401,2022-09-01
5401,2022-10-01
5401,2022-11-01
5401,2022-12-01
5402,2020-01-01
5402,2020-02-01
5402,2020-03-01
5402,2020-04-01
5402,2020-05-01
5402,2020-06-01
5402,2020-07-01
5402,2020-08-01
5402,2020-09-01
5402,2020-10-01
5402,2020-11-01
5402,2020-12-01
5402,2021-01-01
5402,2021-02-01
5402,2021-03-01
5402,2021-04-01
5402,2021-05-01
5402,2021-06-01
5402,2021-07-01
5402,2021-08-01
5402,2021-09-01
5402,2021-10-01
5402,2021-11-01
5402,2021-12-01
5402,2022-01-01
5402,2022-02-01
5402,2022-03-01
5402,2022-04-01
5402,2022-05-01
5402,2022-06-01
5402,2022-07-01
5402,2022-08-01
5402,2022-09-01
5402,2022-10-01
5402,2022-11-01
5402,2022-12-01
