Prod_id,ds,y
5395,2012-01-01,36
5395,2012-02-01,74
5395,2012-03-01,23
5395,2012-04-01,27
5395,2012-05-01,97
5395,2012-06-01,61
5395,2012-07-01,29
5395,2012-08-01,41
5395,2012-09-01,59
5395,2012-10-01,97
5395,2012-11-01,45
5395,2012-12-01,71
5395,2013-01-01,98
5395,2013-02-01,66
5395,2013-03-01,24
5395,2013-04-01,51
5395,2013-05-01,82
5395,2013-06-01,88
5395,2013-07-01,71
5395,2013-08-01,84
5395,2013-09-01,61
5395,2013-10-01,15
5395,2013-11-01,20
5395,2013-12-01,47
5395,2014-01-01,48
5395,2014-02-01,75
5395,2014-03-01,57
5395,2014-04-01,38
5395,2014-05-01,57
5395,2014-06-01,29
5395,2014-07-01,59
5395,2014-08-01,73
5395,2014-09-01,96
5395,2014-10-01,70
5395,2014-11-01,90
5395,2014-12-01,19
5395,2015-01-01,70
5395,2015-02-01,96
5395,2015-03-01,11
5395,2015-04-01,81
5395,2015-05-01,74
5395,2015-06-01,53
5395,2015-07-01,42
5395,2015-08-01,77
5395,2015-09-01,11
5395,2015-10-01,30
5395,2015-11-01,27
5395,2015-12-01,42
5395,2016-01-01,44
5395,2016-02-01,53
5395,2016-03-01,82
5395,2016-04-01,95
5395,2016-05-01,61
5395,2016-06-01,66
5395,2016-07-01,48
5395,2016-08-01,25
5395,2016-09-01,45
5395,2016-10-01,84
5395,2016-11-01,100
5395,2016-12-01,53
5395,2017-01-01,30
5395,2017-02-01,95
5395,2017-03-01,92
5395,2017-04-01,53
5395,2017-05-01,42
5395,2017-06-01,41
5395,2017-07-01,13
5395,2017-08-01,89
5395,2017-09-01,12
5395,2017-10-01,49
5395,2017-11-01,48
5395,2017-12-01,31
5395,2018-01-01,81
5395,2018-02-01,47
5395,2018-03-01,49
5395,2018-04-01,29
5395,2018-05-01,52
5395,2018-06-01,11
5395,2018-07-01,74
5395,2018-08-01,56
5395,2018-09-01,60
5395,2018-10-01,57
5395,2018-11-01,55
5395,2018-12-01,10
5395,2019-01-01,45
5395,2019-02-01,62
5395,2019-03-01,22
5395,2019-04-01,59
5395,2019-05-01,36
5395,2019-06-01,57
5395,2019-07-01,92
5395,2019-08-01,82
5395,2019-09-01,34
5395,2019-10-01,63
5395,2019-11-01,61
5395,2019-12-01,73
5396,2012-01-01,70
5396,2012-02-01,85
5396,2012-03-01,22
5396,2012-04-01,21
5396,2012-05-01,72
5396,2012-06-01,46
5396,2012-07-01,20
5396,2012-08-01,75
5396,2012-09-01,89
5396,2012-10-01,77
5396,2012-11-01,52
5396,2012-12-01,34
5396,2013-01-01,39
5396,2013-02-01,75
5396,2013-03-01,17
5396,2013-04-01,15
5396,2013-05-01,31
5396,2013-06-01,22
5396,2013-07-01,87
5396,2013-08-01,90
5396,2013-09-01,43
5396,2013-10-01,72
5396,2013-11-01,21
5396,2013-12-01,14
